"respondentID","GPA","Gender","grade_level","employment","income","marital_status","on_off_campus","sports","type_sports","weight"
"1","2.4","2","2","3","5","1","1","1","car racing","187"
"2","3.654","1","4","2","4","2","1","1","Basketball ","155"
"3","3.3","1","3","3","6","2","2","2","none","I'm not answering this. "
"4","3.2","1","4","3","6","2","1","2","nan","Not sure, 240"
"5","3.5","1","4","2","6","1","1","1","Softball","190"
"6","2.25","1","2","3","1","2","1","2","None.","190"
"7","3.8","2","4","3","4","1","2","1","soccer","180"
"8","3.3","1","2","2","5","1","1","2","none","137"
"9","3.3","1","1","2","5","2","1","2","none","180"
"10","3.3","1","1","3","4","2","1","1","field hockey","125"
"11","3.5","1","3","1","3","1","3","1","soccer","116"
"12","3.904","1","2","2","5","2","1","1","Running","110"
"13","3.4","2","1","3","5","2","1","1","Soccer and basketball ","264"
"14","3.6","1","3","2","5","2","2","1","intramural volleyball","123"
"15","3.1","2","3","3","5","1","2","1","Hockey","185"
"16","3.4","2","1","3","4","2","1","1","Hockey","180"
"17","4","1","1","2","1","2","1","2","nan","145"
"18","3.6","2","1","3","6","2","1","1","hockey","170"
"19","3.4","1","2","2","5","2","1","2","dancing ","135"
"20","2.2","2","1","3","5","1","1","nan","basketball","165"
"21","3.3","2","2","2","6","1","1","1","Soccer","175"
"22","3.87","2","4","2","6","2","1","1","Tennis","195"
"23","3.7","2","1","2","6","1","1","1","tennis soccer gym","185"
"24","3.7","2","3","2","4","1","1","1","Gaelic Football","185"
"25","3.9","1","3","3","4","2","1","2","none","105"
"26","2.8","1","1","3","6","1","1","1","Ice hockey","125"
"27","3.7","2","2","2","5","2","1","1","Hockey","160"
"28","3","2","1","3","6","2","1","1","Lacrosse ","175"
"29","3.2","2","3","2","5","1","1","2","nan","180"
"30","3.5","2","3","3","5","1","1","2","nan","167"
"31","4","1","4","2","5","2","3","1","snowboarding","115"
"32","4","2","2","3","4","1","4","2","none organized","205"
"33","3.4","2","4","2","5","1","1","1","Soccer","125"
"34","2.8","1","1","3","3","1","1","2","nan","128"
"35","3.65","1","1","3","6","1","1","1","softball","150"
"36","3","1","3","3","4","2","2","1","Lacrosse","150"
"37","3.7","1","2","2","6","1","1","1","Softball ","150"
"38","3.4","1","4","2","6","2","1","1","Dancing","170"
"39","3.89","1","4","3","5","2","1","1","Lacrosse","150"
"40","3","2","4","3","6","2","2","1","Hockey","175"
"41","3.4","2","1","3","6","1","1","1","wrestling ","140"
"42","2.9","1","2","2","3","1","1","2","nan","120"
"43","3.6","1","2","2","6","1","1","2","nan","135"
"44","3.5","1","3","3","3","2","1","2","no particular engagement ","100"
"45","3.2","1","4","2","5","1","2","1","Volleyball","170"
"46","3.605","1","2","2","6","2","1","2","none","113"
"47","3.8","2","1","2","4","1","1","1","soccer ","168"
"48","2.8","2","1","3","6","1","1","1","wrestling & rowing","145"
"49","3.5","2","2","3","5","1","1","1","Wrestling","155"
"50","3.83","2","3","3","3","2","1","2","none","150"
"51","3.6","2","3","3","1","1","3","2","nan","169"
"52","3.3","2","2","3","6","1","1","1","Hockey","185"
"53","3.3","2","2","1","5","1","1","1","Lacrosse ","200"
"54","3.292","2","4","2","3","1","3","2","nan","265"
"55","3.5","2","2","3","6","1","1","1","hockey","165"
"56","3.35","1","1","3","3","1","1","1","softball","192"
"57","3.8","2","4","3","6","1","2","1","Hockey","175"
"58","2.8","1","2","2","5","1","1","1","softball","140"
"59","3.5","1","3","2","5","1","2","1","Skiing","155"
"60","3.7","1","4","3","6","1","2","1","skiing ","155"
"61","3.6","1","1","3","6","1","1","1","Water polo and running ","135"
"62","3.7","1","4","2","4","2","3","2","nan","118"
"63","3.9","2","4","2","6","1","1","1","Ice Hockey","210"
"64","2.6","1","3","3","5","2","1","1","rowing ","180"
"65","3.5","1","2","2","2","2","1","1","Volleyball","140"
"66","3.2","1","2","3","6","2","1","2","None","112"
"67","3","1","1","3","4","2","1","1","tennis  ","125"
"68","3.6","1","2","2","5","2","1","1","Recreational Basketball, Equestrian Team","144"
"69","3.2","1","1","3","6","2","1","1","soccer","145"
"70","3.67","1","3","3","6","2","2","2","None","130"
"71","3.73","1","3","2","3","2","1","1","Rec Volleyball","140"
"72","4","1","3","2","5","2","1","1","Softball","140"
"73","3.1","2","1","2","5","1","1","2","nan","140"
"74","3.79","2","2","3","6","2","3","1","baseball","200"
"75","2.71","2","3","3","3","4","2","2","nan","140"
"76","3","1","1","2","5","2","1","2","I danced in high school","120"
"77","3.7","1","4","2","3","1","2","1","horse back riding","150"
"78","3.1","2","4","2","3","2","1","1","Basketball ","200"
"79","3","1","2","2","5","2","1","1","competitive skiing","135"
"80","3.9","2","1","3","6","1","1","1","Rowing, Running, and Cycling","145"
"81","3.4","1","1","2","4","1","1","2","nan","130"
"82","3.5","1","4","3","4","2","1","1","softball and basketball","190"
"83","3.7","1","3","3","3","1","1","1","wrestling","170"
"84","3.7","1","1","3","1","1","1","1","Marching Band","127"
"85","3.83","1","2","3","5","2","1","1","Collegiate Water Polo","167"
"86","2.6","1","1","2","6","2","1","2","None right now","140"
"87","3","1","1","3","6","1","1","1","volleyball, lacrosse","190"
"88","3.2","2","2","2","6","1","1","1","field hockey","155"
"89","3.5","2","3","2","2","1","1","2","nan","175"
"90","3.2","1","3","2","3","1","1","2","none ","129"
"91","3.68","2","1","3","6","1","1","1","Fotball","260"
"92","3.8","1","3","2","6","2","2","2","crew","135"
"93","3.3","2","3","2","3","2","1","1","Football, Basketball, Volleyball, Golf","190"
"94","3.2","2","1","3","4","1","1","2","nan","165"
"95","3.75","2","4","2","6","2","1","1","hockey, soccer, golf","175"
"96","3.5","2","3","3","5","2","1","1","Wrestling","184"
"97","3.92","2","1","2","6","1","1","2","Soccer","210"
"98","3.9","1","2","2","5","1","1","1","Running ","155"
"99","3.9","2","4","3","6","2","4","1","Tennis","185"
"100","3.2","1","1","2","4","2","1","1","softball","165"
"101","3.5","1","1","2","2","2","1","1","Volleyball, Track","125"
"102","3.4","1","1","2","5","1","1","2","nan","160"
"103","3","1","2","3","5","1","1","2","nan","135"
"104","3.7","1","3","2","4","1","1","2","When I can, rarely though play pool, darts, and basketball.","130"
"105","2.4","1","1","2","5","1","1","2","None at the moment","230"
"106","3","1","4","1","4","2","2","1","volleyball","125"
"107","3","1","1","3","1","1","1","2","None","130"
"108","3.8","1","2","2","4","1","1","2","I used to play softball ","165"
"109","3.8","1","2","3","6","2","1","1","Ice hockey","128"
"110","3.4","1","2","2","6","1","1","2"," None","200"
"111","3.7","1","4","3","3","2","2","1","Volleyball","160"
"112","2.9","2","3","2","5","1","3","2","nan","170"
"113","3.9","1","4","3","6","2","1","2","nan","129"
"114","3.6","1","4","2","6","2","1","2","None","170"
"115","2.8","2","2","3","3","2","1","1","Tennis, Basketball","138"
"116","3.3","2","1","2","6","2","1","1","Hockey","150"
"117","3.4","1","1","3","1","1","1","2","none","170"
"118","3.77","1","2","2","2","1","1","2","No, I don't play sport.","113"
"119","3.63","1","2","2","3","2","3","2","None","140"
"120","3.2","2","4","2","2","2","1","1","Soccer","185"
"121","3.5","1","4","1","4","1","3","1","Softball","156"
"122","3","1","4","3","2","1","1","1","basketball ","180"
"123","3.882","1","3","3","2","1","1","2","none","120"
"124","3","2","1","2","4","1","1","2","nan","135"
"125","3.9","1","3","2","5","2","1","2","nan","135"
